Question,Answer
"What is your return policy?","We accept returns within 30 days of purchase with a valid receipt."
"How can I track my order?","Use the tracking link sent to your email or log in to your account."
"What payment methods do you accept?","We accept credit/debit cards, PayPal, and online banking."
"Do you offer international shipping?","Yes, we ship to select countries. Check our shipping policy for details."
"How do I reset my password?","Click 'Forgot Password' on the login page to reset your password."
"Can I cancel my order after placing it?","Yes, orders can be canceled within 24 hours of placement."
"Do you offer discounts for bulk purchases?","Yes, please contact our sales team for bulk purchase discounts."
"What are your customer service hours?","Our customer service is available Monday to Friday, 9 AM to 6 PM."
"Is there a warranty on your products?","Yes, most products come with a 1-year warranty. Check product details."
"How do I contact customer support?","You can email us at support@example.com or call us at 123-456-7890."
